phrase_id,phrase,video,index,y,cost,comment,pitch_cost,orn_frac,gap_frac,leaps,register,salience_rel,salience_min,tempo_ratio,held_extra
Bageshree#0,",n S m",uPLSOevIK-4,0,0,0.0,"happenstance entirely within ornamentaion, not clear enough to qualify as a ""phrase"" given the context",0.0,0.0,0.0,0.0,0.0,0.8026387095451355,0.6814779043197632,1.0,0.0
Bageshree#0,",n S m",FCw-Jo9_P8o,1,1,0.0,,0.0,0.0,0.0,0.0,0.0,0.7634137272834778,0.7634137868881226,1.0,0.0
Bageshree#0,",n S m",rUoWx__itDo,2,1,0.0,"yes, but the ""m"" here is actually a kan in ""n S (m)g""",0.0,0.0,0.0,0.0,0.0,0.7697854042053223,0.769672691822052,0.8522727272727273,0.0
Bageshree#0,",n S m",FCw-Jo9_P8o,3,1,0.054,,0.054,0.0,0.0,0.0,0.0,1.170803427696228,1.1708033084869385,0.4182692307692603,0.0
Bageshree#0,",n S m",rUoWx__itDo,4,1,0.0,,0.0,0.0,0.0,0.0,0.0,1.1109769344329834,1.0355372428894043,1.0,0.0
Bageshree#0,",n S m",8ldBWSCfR0Q,5,1,0.5,"yes.. but here too, ""n S (m) --> g ..."" is the complete picture",0.0,0.0,0.0,0.0,1.0,0.948737382888794,0.915199339389801,1.0,0.0
Bageshree#0,",n S m",FCw-Jo9_P8o,6,0,0.069,this is n S g m,0.069,0.0,0.0,0.0,0.0,0.774096667766571,0.7190842032432556,0.8161764705882453,0.0
Bageshree#0,",n S m",rUoWx__itDo,7,1,0.077,"again, m is a kan swar. still counting it on technicality",0.0,0.077,0.0,0.0,0.0,0.7799504995346069,0.7799504399299622,1.0,1.0
Bageshree#0,",n S m",8ldBWSCfR0Q,8,1,0.5,n S (m) g,0.0,0.0,0.0,0.0,1.0,0.8255829215049744,0.6207801103591919,1.5681818181815546,0.0
Bageshree#0,",n S m",8ldBWSCfR0Q,9,1,0.5,,0.0,0.0,0.0,0.0,1.0,1.0012073516845703,0.9997365474700928,0.5156249999999574,0.0
Bageshree#0,",n S m",IaWMS9vmWRM,10,1,0.5,,0.0,0.0,0.0,0.0,1.0,1.232962965965271,1.1893725395202637,0.9140625000000345,0.0
Bageshree#0,",n S m",QaE7GojryQE,11,0,0.5,it's actually ... D m; the S is coming from the drone and overpowering the D,0.0,0.0,0.0,0.0,1.0,1.1751885414123535,1.0000001192092896,1.0,0.0
Bageshree#0,",n S m",IaWMS9vmWRM,12,1,0.5,n S (m) g,0.0,0.0,0.0,0.0,1.0,0.790651261806488,0.7840262055397034,0.5913461538461899,0.0
Bageshree#0,",n S m",IaWMS9vmWRM,13,0,0.5,n S g m,0.0,0.0,0.0,0.0,1.0,2.3575875759124756,2.0370731353759766,1.1249999999999865,0.0
Bageshree#4,m D n D,p36qxVRg6kw,0,1,0.0,,0.0,0.0,0.0,0.0,0.0,0.9758970737457275,0.9758968949317932,1.0,0.0
Bageshree#4,m D n D,FCw-Jo9_P8o,1,0,0.0,"phrase was intended, but selected pitch track is technically ... g ""m D P D n D"" n ...",0.0,0.0,0.0,0.0,0.0,0.9035897254943848,0.9035897254943848,1.2455357142857235,0.0
Bageshree#4,m D n D,p36qxVRg6kw,2,0,0.0,"D n D is right, the m is stray",0.0,0.0,0.0,0.0,0.0,1.131536841392517,1.131536602973938,1.0,0.0
Bageshree#4,m D n D,p36qxVRg6kw,3,1,0.0,the nD is part of ornamentation; not an intentionally sung phrase; markign y on technicality,0.0,0.0,0.0,0.0,0.0,0.9534227848052979,0.671219527721405,0.5524553571428115,0.0
Bageshree#4,m D n D,rUoWx__itDo,4,1,0.0,,0.0,0.0,0.0,0.0,0.0,0.8687562346458435,0.861278772354126,0.7500000000000284,0.0
Bageshree#4,m D n D,FCw-Jo9_P8o,5,1,0.023,,0.023,0.0,0.0,0.0,0.0,1.0287878513336182,1.0287878513336182,1.0,0.0
